filament_id,lat_centroid,lon_centroid,dec_time,date,product_id,datetime,mgrs_tile
10876,34.419273326382154,10.549282115944862,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10877,34.35672220543618,10.395724485524354,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10878,34.35230533475147,10.497145900442993,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPD_20230728T044356.SAFE,2018-11-07T10:11:09.453Z,Unknown
10879,34.28206911686245,10.23984558218285,2018.850865582192,2018-11-07,S2B_MSIL1C_20181107T100219_N0500_R122_T32SPC_20230728T044356.SAFE,2018-11-07T10:11:23.96Z,Unknown
10880,35.05862274749555,11.182190112156926,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPD_20230726T123842.SAFE,2018-11-27T10:11:07.966Z,Unknown
10881,35.042911848276475,11.153651126968008,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPD_20230726T123842.SAFE,2018-11-27T10:11:07.966Z,Unknown
10882,35.02317800917477,11.20965249989381,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPD_20230726T123842.SAFE,2018-11-27T10:11:07.966Z,Unknown
10883,34.76817409245399,10.915569543925882,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPD_20230726T123842.SAFE,2018-11-27T10:11:07.966Z,Unknown
10884,34.300300311894205,10.353781012135665,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPC_20230726T123842.SAFE,2018-11-27T10:11:22.475Z,Unknown
10885,34.28446330189083,10.37944735365704,2018.9053686580417,2018-11-27,S2B_MSIL1C_20181127T100339_N0500_R122_T32SPC_20230726T123842.SAFE,2018-11-27T10:11:22.475Z,Unknown
